task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
245	da/d131dc	673600	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g4_r3_T1)	CACHED	0	2024-01-23 01:34:55.809	55.9s	53s	94.4%	2.8 MB	11 MB	188.6 MB	2.2 MB
243	0e/4342f8	700420	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g8_r2_T1)	CACHED	0	2024-01-23 01:50:54.873	48.5s	46s	121.6%	2.8 MB	11 MB	208.5 MB	2.2 MB
249	00/18e853	538528	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g10_r3_T1)	CACHED	0	2024-01-23 00:38:02.707	1m 22s	1m 21s	563.7%	1 GB	1.8 GB	4.9 GB	4.9 GB
250	8f/9272e5	734553	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g10_r1_T1)	CACHED	0	2024-01-23 02:06:47.057	3.8s	2s	359.4%	2.8 MB	11 MB	82.9 MB	784.3 KB
242	09/0a61d3	543944	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g10_r2_T1)	CACHED	0	2024-01-23 00:39:25.006	57.2s	57s	624.0%	806.7 MB	1.5 GB	3.7 GB	3.7 GB
252	65/c45d76	732825	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g4_r2_T1)	CACHED	0	2024-01-23 02:06:19.497	4.1s	3s	339.7%	2.8 MB	11 MB	87.6 MB	786.7 KB
251	36/c307de	733830	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g8_r1_T1)	CACHED	0	2024-01-23 02:06:35.742	3.5s	2s	368.3%	2.8 MB	11 MB	72.6 MB	784.3 KB
254	c8/d4d253	733330	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g8_r3_T1)	CACHED	0	2024-01-23 02:06:27.761	3.9s	2s	349.8%	2.8 MB	11 MB	82.6 MB	785.3 KB
237	f6/892f2b	731875	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g0_r1_T1)	CACHED	0	2024-01-23 02:06:04.788	3.2s	1s	352.0%	2.8 MB	11 MB	64 MB	786 KB
238	b3/dc9c15	732348	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g0_r2_T1)	CACHED	0	2024-01-23 02:06:11.884	3.5s	2s	380.1%	2.8 MB	11 MB	75.9 MB	787.2 KB
248	03/50e987	674334	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g4_r3_T1)	CACHED	0	2024-01-23 01:35:51.676	1m 57s	1m 56s	422.0%	1023.2 MB	1.8 GB	1.8 GB	1.7 GB
246	ee/f26359	701125	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g8_r2_T1)	CACHED	0	2024-01-23 01:51:43.411	1m 49s	1m 48s	426.2%	1023.2 MB	1.8 GB	2 GB	1.9 GB
247	4d/4437d5	691800	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g4_r1_T1)	CACHED	0	2024-01-23 01:46:09.546	2m 12s	2m 11s	427.3%	1022.9 MB	1.8 GB	2.5 GB	2.3 GB
255	0c/9c7486	708548	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g10_r3_T1)	CACHED	0	2024-01-23 01:55:32.001	2m 38s	2m 36s	404.1%	1022.8 MB	1.8 GB	2.3 GB	2.2 GB
258	cd/9376d8	733076	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g4_r1_T1)	CACHED	0	2024-01-23 02:06:23.639	4.1s	2s	440.4%	2.8 MB	11 MB	110 MB	788.4 KB
253	90/10840b	732572	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g0_r3_T1)	CACHED	0	2024-01-23 02:06:15.383	4.1s	3s	351.0%	2.8 MB	11 MB	92.7 MB	788.4 KB
259	18/b374dd	714282	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g10_r2_T1)	CACHED	0	2024-01-23 01:59:03.872	43.6s	41s	121.5%	2.8 MB	11 MB	188.4 MB	2.2 MB
256	5c/9e7214	713546	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g10_r3_T1)	CACHED	0	2024-01-23 01:58:10.051	53.8s	51s	122.0%	2.8 MB	11 MB	239.6 MB	2.2 MB
257	c6/bdcffa	732098	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g4_r3_T1)	CACHED	0	2024-01-23 02:06:08.006	3.9s	2s	348.4%	2.8 MB	11 MB	82.9 MB	786.4 KB
262	e4/5c47f1	734051	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g10_r3_T1)	CACHED	0	2024-01-23 02:06:39.255	4.1s	3s	420.8%	2.8 MB	11 MB	106.4 MB	786.2 KB
260	f6/025be0	714958	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g10_r2_T1)	CACHED	0	2024-01-23 01:59:47.454	1m 38s	1m 36s	425.1%	1023.5 MB	1.8 GB	1.8 GB	1.7 GB
261	6e/74762f	733579	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g8_r2_T1)	CACHED	0	2024-01-23 02:06:31.671	4.1s	2s	361.0%	2.8 MB	11 MB	92.4 MB	786.5 KB
263	d3/8eaa32	734298	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_1_g10_r2_T1)	CACHED	0	2024-01-23 02:06:43.326	3.7s	2s	366.6%	2.8 MB	11 MB	82.2 MB	784.5 KB
264	e6/22a899	734807	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_COUNTS ([CO2_4_g0_r3_T1.featureCounts.txt, CO2_30_g0_r1_T1.featureCounts.txt, CO2_30_g0_r2_T1.featureCounts.txt, CO2_30_g0_r3_T1.featureCounts.txt, CO2_4_g0_r2_T1.featureCounts.txt, CO2_4_g0_r1_T1.featureCounts.txt, CO2_4_g0_r4_T1.featureCounts.txt, CO2_4_g4_r1_T1.featureCounts.txt, CO2_4_g4_r3_T1.featureCounts.txt, CO2_4_g4_r2_T1.featureCounts.txt, CO2_4_g4_r4_T1.featureCounts.txt, CO2_30_g4_r1_T1.featureCounts.txt, CO2_4_g8_r1_T1.featureCounts.txt, CO2_4_g8_r2_T1.featureCounts.txt, CO2_30_g4_r3_T1.featureCounts.txt, CO2_30_g8_r1_T1.featureCounts.txt, CO2_30_g4_r2_T1.featureCounts.txt, CO2_4_g8_r4_T1.featureCounts.txt, CO2_30_g8_r2_T1.featureCounts.txt, CO2_30_g8_r3_T1.featureCounts.txt, CO2_4_g10_r3_T1.featureCounts.txt, CO2_4_g8_r3_T1.featureCounts.txt, CO2_4_g10_r2_T1.featureCounts.txt, CO2_4_g10_r1_T1.featureCounts.txt, CO2_4_g10_r4_T1.featureCounts.txt, CO2_30_g10_r1_T1.featureCounts.txt, CO2_30_g10_r3_T1.featureCounts.txt, CO2_amb_g4_r1_T1.featureCounts.txt, CO2_30_g10_r2_T1.featureCounts.txt, CO2_amb_g0_r2_T1.featureCounts.txt, CO2_amb_g0_r3_T1.featureCounts.txt, CO2_amb_g4_r2_T1.featureCounts.txt, CO2_amb_g0_r1_T1.featureCounts.txt, CO2_amb_g8_r1_T1.featureCounts.txt, CO2_amb_g8_r3_T1.featureCounts.txt, CO2_amb_g8_r2_T1.featureCounts.txt, CO2_amb_g4_r3_T1.featureCounts.txt, CO2_amb_g10_r1_T1.featureCounts.txt, CO2_amb_g10_r3_T1.featureCounts.txt, CO2_amb_g10_r2_T1.featureCounts.txt, CO2_1_g0_r1_T1.featureCounts.txt, CO2_1_g4_r3_T1.featureCounts.txt, CO2_1_g0_r2_T1.featureCounts.txt, CO2_1_g0_r3_T1.featureCounts.txt, CO2_1_g4_r2_T1.featureCounts.txt, CO2_1_g4_r1_T1.featureCounts.txt, CO2_1_g8_r3_T1.featureCounts.txt, CO2_1_g8_r2_T1.featureCounts.txt, CO2_1_g8_r1_T1.featureCounts.txt, CO2_1_g10_r3_T1.featureCounts.txt, CO2_1_g10_r2_T1.featureCounts.txt, CO2_1_g10_r1_T1.featureCounts.txt])	CACHED	0	2024-01-23 02:06:50.916	8.8s	3s	118.4%	2.8 MB	11 MB	45.5 MB	4.3 MB
265	93/05e5f7	735206	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FITNESS (samplesheet_CRISPRi_CO2_Elena_including_Miao_Jahn.csv)	CACHED	0	2024-01-23 02:06:59.752	4m 45s	4m 45s	126.6%	4 GB	10.9 GB	115.4 MB	126.6 MB
266	2b/9d5441	741013	NFCORE_CRISPRISCREEN:CRISPRISCREEN:RMARKDOWNNOTEBOOK (counts_summary)	CACHED	0	2024-01-23 02:11:44.449	52.9s	52.8s	100.5%	696 MB	1 TB	58.5 MB	13.7 MB
267	cd/142403	742220	NFCORE_CRISPRISCREEN:CRISPRISCREEN:RMARKDOWNNOTEBOOK (fitness_summary)	CACHED	0	2024-01-23 02:12:37.308	18.7s	18.7s	104.7%	463.4 MB	1.1 GB	61.2 MB	1.9 MB
268	00/1e5fa3	744390	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2024-01-23 08:02:53.258	3.2s	186ms	95.0%	8.8 MB	15.9 MB	1011.6 KB	4.3 KB
269	10/40ebd0	744882	NFCORE_CRISPRISCREEN:CRISPRISCREEN:MULTIQC	COMPLETED	0	2024-01-23 08:02:56.556	54.7s	30.2s	161.0%	259.6 MB	1.4 GB	1 GB	16.3 MB
