sgRNA_target	num_sgRNAs	p_fitness_condition	p_fitness_condition_2	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score	p_fitness_condition_adj
nc_slr0618-as	4	0.7370162633798947	0.8857142857142857	CO2_30percent	0.5916895828295619	1.078546018641486	0.8542992235356	0.04046564368420005	0.8683388670782164
nc_slr0618-as	4	0.7370162633798947	0.8857142857142857	CO2_4percent	-0.17842640325681938	0.3628338992573432	0.7739566832797656	0.019855887023113417	0.8683388670782164
nc_slr0618	1	0.13361440253771614	1	CO2_30percent	0.02020979320763599	NA	0.7324131804450047	0.0027332502163199403	0.34813398257891537
nc_slr0618	1	0.13361440253771614	1	CO2_4percent	0.13318985004082512	NA	1	-0	0.34813398257891537
nc_slr0619-as	1	0.13361440253771614	1	CO2_30percent	0.2850554392244128	NA	0.6652586483325006	0.050457512483159404	0.34813398257891537
nc_slr0619-as	1	0.13361440253771614	1	CO2_4percent	0.11380256537818652	NA	0.9525074466803449	0.002404832604748201	0.34813398257891537
nc_slr0623-as	2	1	1	CO2_30percent	-3.9272405722830444	1.1755294212278444	0.08816848011047329	4.142008186096057	1
nc_slr0623-as	2	1	1	CO2_4percent	-3.547518177988318	2.549924387013377	0.15856641552415507	2.837265275150865	1
nc_slr0624-as	5	0.0018007025160810717	0.015873015873015872	CO2_30percent	0.4995815809088327	0.27099458866480186	0.21242716088599387	0.33611346946423326	0.0348298045227573
nc_slr0624-as	5	0.0018007025160810717	0.015873015873015872	CO2_4percent	-0.22269226628153094	0.2264842598155353	0.2284187409331184	0.14280548359914705	0.0348298045227573
nc_slr0624	3	0.009420319510740701	0.1	CO2_30percent	-0.6215567091287381	0.7721529724708256	0.5602916101530038	0.1563748920342577	0.08716901708161645
nc_slr0624	3	0.009420319510740701	0.1	CO2_4percent	-3.6622237660611776	0.7190410193515493	0.03195053205233067	5.476935864656045	0.08716901708161645
nc_slr0630-as	1	0.13361440253771614	1	CO2_30percent	0.8408162297774823	NA	0.27496316702089124	0.4714670828951922	0.34813398257891537
nc_slr0630-as	1	0.13361440253771614	1	CO2_4percent	0.5510347551639951	NA	0.497647869636685	0.1670064292817924	0.34813398257891537
