sgRNA_target	condition	wmean_fitness	p_fitness_adj	p_fitness_condition	p_fitness_condition_2	p_fitness_condition_adj
slr0842	CO2_30percent	0.30261567708533954	1	0.010097314647507225	0.05555555555555555	1
slr0842	CO2_4percent	-0.2235065082489585	0.1766276124104797	0.010097314647507225	0.05555555555555555	0.1766276124104797
slr0845	CO2_30percent	0.525305568783263	0.5602916101530038	0.08024166929066141	0.2222222222222222	0.5602916101530038
slr0845	CO2_4percent	-0.07375079241371536	0.7994991339779918	0.08024166929066141	0.2222222222222222	0.7994991339779918
slr0846	CO2_30percent	-0.13231960158138117	0.21242716088599387	6.846034854385695e-4	0.007936507936507936	0.21242716088599387
slr0846	CO2_4percent	0.505396010417269	0.07310742882854777	6.846034854385695e-4	0.007936507936507936	0.07310742882854777
slr0848	CO2_30percent	-2.3189060282900122	0.009809899642329289	0.22994905679421349	0.42063492063492064	0.009809899642329289
slr0848	CO2_4percent	-1.389188234665968	0.016128529540135998	0.22994905679421349	0.42063492063492064	0.016128529540135998
slr0852	CO2_30percent	0.1605745290164452	0.594324564040631	0.7059529851215194	0.8412698412698413	0.594324564040631
slr0852	CO2_4percent	-0.05060217622599436	0.38697266406161857	0.7059529851215194	0.8412698412698413	0.38697266406161857
slr0857	CO2_30percent	0.11766970423253739	0.9458951075850284	0.13361440253771614	1	0.9458951075850284
slr0857	CO2_4percent	0.13414240601866978	1	0.13361440253771614	1	1
slr0863	CO2_30percent	0.25983344456884305	0.8927347877322642	0.51459819165810194	0.6904761904761905	0.8927347877322642
slr0863	CO2_4percent	-0.2140535155465952	0.38697266406161857	0.51459819165810194	0.6904761904761905	0.38697266406161857
slr0864	CO2_30percent	-0.07217434301450684	0.34672092298393176	0.043002747477351014	0.15079365079365079	0.34672092298393176
slr0864	CO2_4percent	0.21730452825973987	0.746352504788104	0.043002747477351014	0.15079365079365079	0.746352504788104
slr0865	CO2_30percent	-0.48752055447820997	0.9647691158263495	0.22994905679421349	0.42063492063492064	0.9647691158263495
slr0865	CO2_4percent	-0.9653574737522952	0.5399302538694818	0.22994905679421349	0.42063492063492064	0.5399302538694818
slr0867	CO2_30percent	-2.905520913841957	0.05405695937378547	0.7059529851215194	0.8412698412698413	0.05405695937378547
slr0867	CO2_4percent	-3.616388515651031	0.0189548347205997	0.7059529851215194	0.8412698412698413	0.0189548347205997
slr0868	CO2_30percent	-0.18452865106562188	0.6984100208815922	0.7370162633798947	0.8857142857142857	0.6984100208815922
slr0868	CO2_4percent	-0.04565203831931404	0.6411604038228789	0.7370162633798947	0.8857142857142857	0.6411604038228789
slr0869	CO2_30percent	-0.35098297546007873	0.6652586483325006	0.08024166929066141	0.2222222222222222	0.6652586483325006
slr0869	CO2_4percent	-1.1264479681627293	0.9525074466803449	0.08024166929066141	0.2222222222222222	0.9525074466803449
slr0870	CO2_30percent	-1.196886618691327	0.48928840640055	0.32960960546565654	0.6666666666666666	0.48928840640055
slr0870	CO2_4percent	-0.006566117049083294	0.7994991339779918	0.32960960546565654	0.6666666666666667	0.7994991339779918
slr0871	CO2_30percent	0.09706012390672349	0.9190642338250596	0.7370162633798947	0.8857142857142857	0.9190642338250596
slr0871	CO2_4percent	0.19461324101257102	0.9525074466803449	0.7370162633798947	0.8857142857142857	0.9525074466803449
slr0872	CO2_30percent	-2.5129076741827165	0.014165882177057623	0.9180430114611047	1	0.014165882177057623
slr0872	CO2_4percent	-2.6589067200712995	0.0189548347205997	0.9180430114611047	1	0.0189548347205997
slr0876	CO2_30percent	0.7683572105397922	0.6984100208815922	0.22994905679421349	0.42063492063492064	0.6984100208815922
slr0876	CO2_4percent	0.05130162009106917	0.7994991339779918	0.22994905679421349	0.42063492063492064	0.7994991339779918
slr0877	CO2_30percent	-2.215079253488522	0.00872410061899529	0.08024166929066141	0.2222222222222222	0.00872410061899529
slr0877	CO2_4percent	-3.3190841338581563	0.009421249262526892	0.08024166929066141	0.2222222222222222	0.009421249262526892
slr0878	CO2_30percent	-2.6814584582848955	0.8313727550868939	0.51459819165810194	0.6904761904761905	0.8313727550868939
slr0878	CO2_4percent	-0.9534505556188011	0.746352504788104	0.51459819165810194	0.6904761904761905	0.746352504788104
slr0880	CO2_30percent	-0.7780137150780022	0.6652586483325006	0.9180430114611047	1	0.6652586483325006
slr0880	CO2_4percent	-1.713548980257644	0.8308475819064807	0.9180430114611047	1	0.8308475819064807
slr0881	CO2_30percent	0.7618180650529525	0.9647691158263495	0.9180430114611047	1	0.9647691158263495
slr0881	CO2_4percent	0.09599499095278259	0.9143550542857183	0.9180430114611047	1	0.9143550542857183
slr0882	CO2_30percent	-3.5313141983033436	0.00872410061899529	0.14024270215766366	0.30952380952380953	0.00872410061899529
slr0882	CO2_4percent	-3.6441662334455787	0.0189548347205997	0.14024270215766366	0.30952380952380953	0.0189548347205997
slr0885	CO2_30percent	-0.2488121571873557	0.6326011029152486	0.043002747477351014	0.15079365079365079	0.6326011029152486
slr0885	CO2_4percent	-0.7704040469904229	0.7211652573233834	0.043002747477351014	0.15079365079365079	0.7211652573233834
slr0887	CO2_30percent	-0.24685901045287498	0.8927347877322642	0.9180430114611047	1	0.8927347877322642
slr0887	CO2_4percent	-0.1950047535481847	0.9143550542857183	0.9180430114611047	1	0.9143550542857183
slr0888	CO2_30percent	1.2077208059997133	0.23672765952564015	0.021557177099591207	0.09523809523809523	0.23672765952564015
slr0888	CO2_4percent	-0.0015052824836209162	0.7211652573233834	0.021557177099591207	0.09523809523809523	0.7211652573233834
slr0889	CO2_30percent	0.43717159972216435	0.41870951708492	0.22994905679421349	0.42063492063492064	0.41870951708492
slr0889	CO2_4percent	0.24188997513916283	0.9720968262217057	0.22994905679421349	0.42063492063492064	0.9720968262217057
slr0890	CO2_30percent	0.2117063328222469	0.9190642338250596	0.9180430114611047	1	0.9190642338250596
slr0890	CO2_4percent	0.18917841549069317	0.9720968262217057	0.9180430114611047	1	0.9720968262217057
slr0895	CO2_30percent	0.1917051220144944	0.5217432202413865	0.35439798416825935	0.5476190476190477	0.5217432202413865
slr0895	CO2_4percent	0.15916496719419712	0.8308475819064807	0.35439798416825935	0.5476190476190477	0.8308475819064807
slr0896	CO2_30percent	-1.3460819519100744	0.11635175242516728	0.22994905679421349	0.42063492063492064	0.11635175242516728
slr0896	CO2_4percent	-2.036631257961021	0.7739566832797656	0.22994905679421349	0.42063492063492064	0.7739566832797656
slr0897	CO2_30percent	-0.9089625674660539	0.7708972345456213	0.35439798416825935	0.5476190476190477	0.7708972345456213
slr0897	CO2_4percent	-0.3760279116246369	0.7211652573233834	0.35439798416825935	0.5476190476190477	0.7211652573233834
slr0904	CO2_30percent	0.2532634558256408	0.5217432202413865	0.043002747477351014	0.15079365079365079	0.5217432202413865
slr0904	CO2_4percent	0.12006242308968011	0.873632922859333	0.043002747477351014	0.15079365079365079	0.873632922859333
slr0907	CO2_30percent	0.0275062502953476	0.8624632381404762	0.010097314647507225	0.05555555555555555	0.8624632381404762
slr0907	CO2_4percent	1.7696513489919898	0.08554709033241957	0.010097314647507225	0.05555555555555555	0.08554709033241957
slr0909	CO2_30percent	0.48636846669042294	0.594324564040631	0.021557177099591207	0.09523809523809523	0.594324564040631
slr0909	CO2_4percent	2.1978026890525326	0.009421249262526892	0.021557177099591207	0.09523809523809523	0.009421249262526892
slr0912	CO2_30percent	-0.7723408097457667	0.7708972345456213	0.22994905679421349	0.42063492063492064	0.7708972345456213
slr0912	CO2_4percent	0.4390740144370571	0.7994991339779918	0.22994905679421349	0.42063492063492064	0.7994991339779918
slr0913	CO2_30percent	-0.5536088284415328	0.594324564040631	0.51459819165810194	0.6904761904761905	0.594324564040631
slr0913	CO2_4percent	-0.2962703796683133	0.5399302538694818	0.51459819165810194	0.6904761904761905	0.5399302538694818
slr0914	CO2_30percent	0.1390135458638156	0.41870951708492	0.004415048495490632	0.031746031746031744	0.41870951708492
slr0914	CO2_4percent	-1.1158238684883977	0.0270681873278269	0.004415048495490632	0.031746031746031744	0.0270681873278269
slr0915	CO2_30percent	-1.817921956072406	0.14692368791880397	0.010097314647507225	0.05555555555555555	0.14692368791880397
slr0915	CO2_4percent	-3.959120341994497	0.009421249262526892	0.010097314647507225	0.05555555555555555	0.009421249262526892
slr0919	CO2_30percent	1.0404742222754264	0.9647691158263495	0.7059529851215194	0.8412698412698413	0.9647691158263495
slr0919	CO2_4percent	-0.13182215739006267	0.7739566832797656	0.7059529851215194	0.8412698412698413	0.7739566832797656
slr0920	CO2_30percent	0.5614569563723265	0.21242716088599387	0.08024166929066141	0.2222222222222222	0.21242716088599387
slr0920	CO2_4percent	0.10506203479494297	0.9349326218034614	0.08024166929066141	0.2222222222222222	0.9349326218034614
slr0921	CO2_30percent	1.1767952715996564	0.00872410061899529	6.846034854385695e-4	0.007936507936507936	0.00872410061899529
slr0921	CO2_4percent	-0.8489075385720765	0.10024931516783314	6.846034854385695e-4	0.007936507936507936	0.10024931516783314
slr0923	CO2_30percent	-0.768767313068376	0.03851561305067935	0.14024270215766366	0.30952380952380953	0.03851561305067935
slr0923	CO2_4percent	-1.2710522079698914	0.07310742882854777	0.14024270215766366	0.30952380952380953	0.07310742882854777
slr0924	CO2_30percent	-1.8367651698704794	0.011007797784977914	0.010097314647507225	0.05555555555555555	0.011007797784977914
slr0924	CO2_4percent	-0.7484053518249921	0.3557510150935733	0.010097314647507225	0.05555555555555555	0.3557510150935733
slr0929	CO2_30percent	-0.5928866257684593	0.07597918091405867	0.0018007025160810717	0.015873015873015872	0.07597918091405867
slr0929	CO2_4percent	0.15953673959789497	0.9143550542857183	0.0018007025160810717	0.015873015873015872	0.9143550542857183
slr0930	CO2_30percent	-0.09105786869810724	0.6652586483325006	0.043002747477351014	0.15079365079365079	0.6652586483325006
slr0930	CO2_4percent	0.2376264196689175	0.6476625593337079	0.043002747477351014	0.15079365079365079	0.6476625593337079
slr0935	CO2_30percent	-1.0254095598783008	0.14692368791880397	0.51459819165810194	0.6904761904761905	0.14692368791880397
slr0935	CO2_4percent	-2.993160200578625	0.4610569652166894	0.51459819165810194	0.6904761904761905	0.4610569652166894
slr0937	CO2_30percent	-0.41980173728626713	0.34672092298393176	0.043002747477351014	0.15079365079365079	0.34672092298393176
slr0937	CO2_4percent	0.195270794932031	0.9349326218034614	0.043002747477351014	0.15079365079365079	0.9349326218034614
slr0938	CO2_30percent	-2.624460188713024	0.009809899642329289	0.22994905679421349	0.42063492063492064	0.009809899642329289
slr0938	CO2_4percent	-2.1965738832525354	0.0189548347205997	0.22994905679421349	0.42063492063492064	0.0189548347205997
slr0941	CO2_30percent	-1.987774843898777	0.14692368791880397	0.14024270215766366	0.30952380952380953	0.14692368791880397
slr0941	CO2_4percent	0.018376322348403373	0.5399302538694818	0.14024270215766366	0.30952380952380953	0.5399302538694818
slr0942	CO2_30percent	-0.6735561997879471	0.8010213373011333	0.51459819165810194	0.6904761904761905	0.8010213373011333
slr0942	CO2_4percent	-0.6565768122119443	0.9720968262217057	0.51459819165810194	0.6904761904761905	0.9720968262217057
slr0944	CO2_30percent	0.20396634302954061	0.8313727550868939	0.08024166929066141	0.2222222222222222	0.8313727550868939
