sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	p_fitness_condition_CO2_30percent	p_fitness_condition_CO2_4percent	p_fitness_condition_adj_CO2_30percent	p_fitness_condition_adj_CO2_4percent	impact_score	combined_impact_score
nc_ncl0240	NA	ncl0240	NA	-1.022731666201706	-0.11937146750284056	NA	NA	0.41870951708492	0.5820338954230255	0.3866817189628743	0.028058469109730727	1	1	1	1	-0.6387721223539947	-0
nc_ncl0260	NA	ncl0260	NA	-0.09545723034229783	0.9988969976230664	0.36322492817402485	0.6454467292161805	0.6984100208815922	0.6476625593337079	0.01488078353125741	0.18844312557968804	0.2222222222222222	0.2222222222222222	0.7630115322423014	0.7630115322423014	-0.7738252956144779	0.09090040473565046
nc_ncl0270	NA	ncl0270	NA	-0.16279278310001002	-0.03137388331557824	0.030795270994181723	0.1458770283280222	0.28397608833732335	0.6901252346181802	0.08900178180157815	0.0050534570262988215	0.3333333333333333	0.3333333333333333	0.8858294993655463	0.8858294993655463	-0.09292719521364701	0.004892603929209821
nc_ncl0280	NA	ncl0280	NA	-0.2544822211181895	0.23961871390068532	0.08737457919048866	0.1344635735743802	0.28397608833732335	0.873632922859333	0.1391300688214641	0.01405867146633956	0.3333333333333333	0.3333333333333333	0.8858294993655463	0.8858294993655463	-0.3493821217424601	0.01839492021364472
nc_ncl0290	NA	ncl0290	NA	-0.06666546443036037	0.20047669127957687	NA	NA	0.584708522690724	0.9143550542857183	0.015537091529820116	0.007795562225300845	1	1	1	1	-0.1888980298432892	-0
nc_ncl0300	NA	ncl0300	NA	0.28622891617076524	0.07613455667849398	NA	NA	0.6652586483325006	0.9525074466803449	0.05066522901658315	0.0016088465461217693	1	1	1	1	0.1485591462860293	-0
nc_ncl0310	NA	ncl0310	NA	0.1715757481386053	0.09610056930952342	0.25476284351601197	0.1949978057297227	0.9647691158263495	0.9178852599150962	0.0026725681040575496	0.0035760563591989494	1	1	1	1	0.05336901076131114	-0
nc_ncl0320	NA	ncl0320	NA	-1.5667798418993704	-0.2402381573300526	0.6655818300304708	0.4463128721843196	0.014165882177057623	0.746352504788104	2.896594220482205	0.030523700599244058	0.015873015873015872	0.015873015873015872	0.307021307021307	0.307021307021307	-0.9380066206855907	0.4810393271041583
nc_ncl0330	NA	ncl0330	NA	-3.6222012046849543	-1.2706499851662072	NA	NA	0.27496316702089124	0.497647869636685	2.031060504248608	0.38510586655539586	1	1	1	1	-1.6627978136292014	-0
nc_ncl0350	NA	ncl0350	NA	0.3060615930804643	-0.06079950175303134	0.3102048786044505	0.2827122234282394	0.9190642338250596	0.746352504788104	0.011218422801305234	0.007724941819059599	0.5476190476190477	0.5476190476190477	0.9596295259860393	0.9596295259860393	0.25940996791028587	0.004642504051277749
nc_ncl0360	NA	ncl0360	NA	-4.977090019914757	-5.481643257160222	2.2421827377102534	3.4656378265269945	0.02733359653063263	0.04982692236113086	7.780700856656578	7.140037335650226	1	1	1	1	0.3567730155258929	-0
nc_ncl0380	NA	ncl0380	NA	-0.7068717584664544	-2.840386114279018	NA	NA	0.41870951708492	0.3366624508281357	0.2672591410660502	1.342949663792631	1	1	1	1	1.508622468753912	-0
nc_ncl0400	NA	ncl0400	NA	-2.2145974263214017	-2.746542011977766	1.5271732556375393	1.7939133341523932	0.08169384387075593	0.06272827143246135	2.4090627078298743	3.302817512304625	1	1	1	1	0.3761416237330836	-0
nc_ncl0410	NA	ncl0410	NA	0.3286949321468731	0.22768833316889775	0.07513036857925194	0.18882550450035615	0.3673182888487224	0.9178852599150962	0.14296830869608446	0.008472648160091153	0.4	0.4	0.8858294993655463	0.8858294993655463	0.07142245108191658	0.003760382135647018
nc_ncl0430	NA	ncl0430	NA	-0.0623213912305459	0.2503080471490057	NA	NA	0.584708522690724	0.7994991339779918	0.014524659328312522	0.02432543722569391	1	1	1	1	-0.22106239587672283	-0
nc_ncl0440	NA	ncl0440	NA	0.119617734342409	-0.0368984488302908	NA	NA	0.9458951075850284	0.6756228534615185	0.002889608097801354	0.0062836460104781664	1	1	1	1	0.11067365448685182	-0
nc_ncl0490	NA	ncl0490	NA	-1.254235918107817	0.26295254094547793	1.388575865323692	0.3492500351287359	0.3219508045569536	0.873632922859333	0.6173480698899422	0.01542769061820385	0.4	0.4	0.8858294993655463	0.8858294993655463	-1.0728142477345533	0.05648352123090359
nc_ncl0500	NA	ncl0500	NA	0.36066642137632526	-0.1779954549415994	0.16521657046622112	0.29137442823787385	0.6045603515864193	0.6901252346181802	0.07882737504173519	0.028670100330782166	0.3333333333333333	0.3333333333333333	0.8858294993655463	0.8858294993655463	0.3808914655110739	0.020053882789397817
